run,type,module,name,attrname,attrvalue,value
General-1-20210504-13:12:38-10478,runattr,,,configname,General,
General-1-20210504-13:12:38-10478,runattr,,,datetime,20210504-13:12:38,
General-1-20210504-13:12:38-10478,runattr,,,experiment,General,
General-1-20210504-13:12:38-10478,runattr,,,inifile,loRaNetworkCartagenaOPAL-SINTOPOGRAFIA.ini,
General-1-20210504-13:12:38-10478,runattr,,,iterationvars,"$0=""avg""",
General-1-20210504-13:12:38-10478,runattr,,,iterationvarsf,avg-,
General-1-20210504-13:12:38-10478,runattr,,,measurement,"$0=""avg""",
General-1-20210504-13:12:38-10478,runattr,,,network,CartagenaOPAL,
General-1-20210504-13:12:38-10478,runattr,,,processid,10478,
General-1-20210504-13:12:38-10478,runattr,,,repetition,1,
General-1-20210504-13:12:38-10478,runattr,,,replication,#1,
General-1-20210504-13:12:38-10478,runattr,,,resultdir,results,
General-1-20210504-13:12:38-10478,runattr,,,runnumber,1,
General-1-20210504-13:12:38-10478,runattr,,,seedset,1,
General-1-20210504-13:12:38-10478,param,,,**.numberOfGateways,15,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].numUdpApps,1,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].packetForwarder.localPort,2000,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].packetForwarder.destPort,1000,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].packetForwarder.destAddresses,"""networkServer""",
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].packetForwarder.indexNumber,0,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].receptionRadius,1,
General-1-20210504-13:12:38-10478,param,,,**.LoRaGWNic.radio.iAmGateway,true,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[*].**.initFromDisplayString,false,
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[0].**.initialX,"uniform(1583.19m, 1583.49m)",
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[0].**.initialY,"uniform(0.65m, 0.95m)",
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[0].**.initialZ,"uniform(644.45m,644.75m)",
General-1-20210504-13:12:38-10478,param,,,**.loRaGW[1].**.initialX,"uniform(1607.25m,1607.55m)",
