run,type,module,name,attrname,attrvalue,value
General-7-20210504-14:42:26-3803,runattr,,,configname,General,
General-7-20210504-14:42:26-3803,runattr,,,datetime,20210504-14:42:26,
General-7-20210504-14:42:26-3803,runattr,,,experiment,General,
General-7-20210504-14:42:26-3803,runattr,,,inifile,loRaNetworkCartagenaOPAL-SINTOPOGRAFIA.ini,
General-7-20210504-14:42:26-3803,runattr,,,iterationvars,"$0=""avg""",
General-7-20210504-14:42:26-3803,runattr,,,iterationvarsf,avg-,
General-7-20210504-14:42:26-3803,runattr,,,measurement,"$0=""avg""",
General-7-20210504-14:42:26-3803,runattr,,,network,CartagenaOPAL,
General-7-20210504-14:42:26-3803,runattr,,,processid,3803,
General-7-20210504-14:42:26-3803,runattr,,,repetition,7,
General-7-20210504-14:42:26-3803,runattr,,,replication,#7,
General-7-20210504-14:42:26-3803,runattr,,,resultdir,results,
General-7-20210504-14:42:26-3803,runattr,,,runnumber,7,
General-7-20210504-14:42:26-3803,runattr,,,seedset,7,
General-7-20210504-14:42:26-3803,param,,,**.numberOfGateways,15,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].numUdpApps,1,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].packetForwarder.localPort,2000,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].packetForwarder.destPort,1000,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].packetForwarder.destAddresses,"""networkServer""",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].packetForwarder.indexNumber,0,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].receptionRadius,1,
General-7-20210504-14:42:26-3803,param,,,**.LoRaGWNic.radio.iAmGateway,true,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[*].**.initFromDisplayString,false,
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[0].**.initialX,"1583.34m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[0].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[0].**.initialZ,"644.60m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[1].**.initialX,"1607.25m  + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[1].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[1].**.initialZ,"653.4m + uniform(-0.30m,0.30m)",
